web-scraper-order,web-scraper-start-url,video-name,video-name-href
"1594627053-3984","https://www.youtube.com/c/YourQuoteApp/videos","'Kya Yeh Bhi Yoddha Nahi' by Nikki Mahar | Hindi Poetry | YQ - New Delhi (Open Mic 3)","https://www.youtube.com/watch?v=eDG-50YJNW4"
"1594627053-4184","https://www.youtube.com/c/YourQuoteApp/videos","'Dad' by Krishna Iyer (Pencified) | English Poetry | YQ - Mumbai (Open Mic 1)","https://www.youtube.com/watch?v=JISnq5m07Fw"
"1594627053-3463","https://www.youtube.com/c/YourQuoteApp/videos","'Hamesha Der Kar Deta Hoon' by Mohit Pandey | Hindi Poetry | YourQuote - Kanpur (Open Mic 1)","https://www.youtube.com/watch?v=LSVsB85T-AU"
"1594627053-3176","https://www.youtube.com/c/YourQuoteApp/videos","'Gunehgaar' by Divy Kamaldhwaj | Hindi Poetry | YourQuote - Kota (Open Mic 1)","https://www.youtube.com/watch?v=fLm40CSzveM"
"1594627053-3418","https://www.youtube.com/c/YourQuoteApp/videos","'Imaan' by Priya Priyadarshini | Hindi Poetry | YourQuote - Patna (Open Mic 1)","https://www.youtube.com/watch?v=HXlhxA34340"
"1594627053-3894","https://www.youtube.com/c/YourQuoteApp/videos","'The Moment' & 'Vacation' by Rituparna Desai | English Poetry | YQ - Chennai (Open Mic 2)","https://www.youtube.com/watch?v=qZlIviBp_2Q"
"1594627053-3312","https://www.youtube.com/c/YourQuoteApp/videos","'Fitrat Insaanon Ki' by Anjani Kumar Mishra | Hindi Poetry | YourQuote - Bhopal (Open Mic 2)","https://www.youtube.com/watch?v=vzAGbmsGzd8"
"1594627053-3740","https://www.youtube.com/c/YourQuoteApp/videos","'Unheard Ordeal Of A Half Widow' by Ansur Khan | English Poetry | YourQuote - Srinagar (Open Mic 1)","https://www.youtube.com/watch?v=PeRB0jywCCw"
"1594627053-3406","https://www.youtube.com/c/YourQuoteApp/videos","'Harf' by Adarsh Bajpai | Hindi Poetry | YourQuote - Noida (Open Mic 1)","https://www.youtube.com/watch?v=FIE8Xp8T5PM"
"1594627053-3939","https://www.youtube.com/c/YourQuoteApp/videos","'Love' & 'Hum Nahi Badlenge' by Meghana Bose | English & Hindi Poetry | YQ - Mumbai (Open Mic 3)","https://www.youtube.com/watch?v=R6hb5vpblrk"
